Opponent,Resultado,Tm,Opp,W,L,Team,Is_Playoffs,Previous_Team_Pace,Previous_Team_eFG%,Previous_Team_TOV%,Previous_Team_ORB%,Previous_Team_FT/FGA,Previous_Team_ORtg,Previous_Opponent_Pace,Previous_Opponent_eFG%,Previous_Opponent_TOV%,Previous_Opponent_ORB%,Previous_Opponent_FT/FGA,Previous_Opponent_ORtg,Previous_Streak,Previous_Tm,Previous_Opp,Score_Starters_Team,Score_Starters_Opp,Score_Bench_Team,Score_Bench_Opp
5,L,89,95,2,4,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,1.0,103.6,93.4,7.36,14.53,3.44,4.51
16,L,105,110,2,5,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,-1.0,106.5,115.6,7.36,10.99,2.68,5.47
12,W,111,97,2,4,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,-3.0,117.9,105.6,9.32,16.07,2.74,4.96
25,W,126,105,3,4,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,3.0,112.6,104.7,9.32,5.04,2.74,4.83
4,W,129,107,4,4,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,-1.0,128.2,121.4,9.32,12.29,2.57,2.22
1,L,98,114,5,6,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,-1.0,114.9,105.0,7.36,17.85,3.78,2.32
0,W,116,114,5,5,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,1.0,123.6,126.8,7.36,13.77,2.77,5.81
28,W,120,99,6,5,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,4.0,108.8,113.5,7.81,10.62,3.8,5.08
4,W,122,108,7,5,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,3.0,117.0,105.2,9.77,12.29,2.23,6.22
17,L,100,117,8,7,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,-1.0,114.6,112.6,9.32,11.63,2.55,3.86
15,W,100,98,8,6,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,-1.0,103.5,106.4,9.32,7.74,2.98,2.71
22,L,113,116,9,8,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,2.0,107.7,113.0,9.32,12.68,2.98,6.25
4,W,115,91,9,7,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,3.0,113.1,110.3,9.32,14.79,2.98,3.89
8,W,118,112,10,7,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,3.0,126.1,110.9,9.32,10.54,2.98,7.25
26,W,119,106,11,7,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,-4.0,114.9,113.5,9.32,11.23,2.98,2.96
16,L,122,146,12,9,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,-2.0,104.3,109.6,9.32,10.99,2.13,2.88
1,L,123,133,12,10,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,-1.0,120.9,121.9,9.77,17.85,2.73,2.64
26,W,136,130,12,9,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,3.0,119.4,122.4,7.02,11.23,2.44,3.65
27,L,113,117,13,11,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,1.0,102.5,109.7,7.02,10.59,3.02,1.96
22,W,139,122,13,10,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,-1.0,98.3,106.6,7.02,15.2,2.97,5.01
12,L,122,144,14,12,18,False,102.19,0.58,12.31,15.44,0.15,113.32,102.19,0.5,14.04,22.98,0.17,103.27,1.0,117.4,123.4,7.02,13.98,3.07,5.01
