Date,Opponent,Resultado,Tm,Opp,W,L,Streak,Team,Is_Playoffs,Previous_Team_Pace,Previous_Team_eFG%,Previous_Team_TOV%,Previous_Team_ORB%,Previous_Team_FT/FGA,Previous_Team_ORtg,Previous_Opponent_Pace,Previous_Opponent_eFG%,Previous_Opponent_TOV%,Previous_Opponent_ORB%,Previous_Opponent_FT/FGA,Previous_Opponent_ORtg,GmSc_Starters_Team,GmSc_Starters_Opp,GmSc_Bench_Team,GmSc_Bench_Opp
20240414,MIA,L,103,118,25,56,-3,TOR,False,96.9,0.51,12.47,26.77,0.22,112.6,98.33,0.56,12.77,20.63,0.2,115.33,9.97,12.27,6.59,4.9
20240414,CHI,W,120,119,49,32,2,NYK,False,91.13,0.59,9.5,26.43,0.18,130.63,95.53,0.53,14.7,19.87,0.19,106.43,17.84,15.95,2.49,4.83
20240414,CLE,W,120,110,20,61,1,CHO,False,94.83,0.53,10.03,17.77,0.15,112.37,98.77,0.54,13.9,22.87,0.24,113.93,5.87,10.43,5.29,0.8
20240414,BRK,W,107,86,46,35,-1,PHI,False,98.37,0.55,11.4,23.4,0.19,117.37,96.8,0.54,8.53,26.07,0.08,119.23,11.97,10.23,7.21,5.49
20240414,DAL,W,135,86,56,25,1,OKC,False,103.7,0.57,10.7,15.87,0.22,117.33,96.8,0.53,11.0,16.6,0.17,110.57,15.18,5.03,4.69,1.56
20240414,LAC,W,116,105,40,41,-1,HOU,False,94.93,0.51,9.6,26.03,0.15,114.63,95.07,0.58,9.4,25.47,0.22,124.6,11.08,6.06,3.1,8.36
20240414,MIL,W,113,88,46,35,-2,ORL,False,98.53,0.51,12.77,19.77,0.22,107.5,97.33,0.55,8.9,25.3,0.17,120.97,11.0,14.28,3.9,2.45
20240414,MIN,W,125,106,48,33,3,PHO,False,98.0,0.52,12.37,17.47,0.21,110.13,,,,,,,13.87,15.83,1.7,3.14
20240414,DET,W,123,95,21,60,1,SAS,False,98.77,0.54,12.8,26.5,0.12,110.67,93.7,0.53,13.7,29.77,0.17,115.33,8.85,8.7,5.54,9.11
20240414,SAC,L,82,121,21,60,1,POR,False,94.83,0.44,9.8,34.63,0.16,107.47,93.8,0.45,12.87,19.17,0.18,97.43,6.87,15.66,6.62,1.66
20240414,BOS,L,122,132,15,66,-4,WAS,False,104.03,0.61,12.8,13.33,0.17,117.97,93.67,0.56,14.57,18.1,0.12,109.13,13.23,8.55,8.0,5.59
20240414,IND,L,115,157,36,45,-1,ATL,False,96.33,0.52,13.83,22.97,0.14,107.77,94.97,0.51,10.3,22.8,0.24,112.9,10.69,13.28,3.95,5.48
20240414,LAL,L,108,124,49,32,-1,NOP,False,97.8,0.58,9.67,17.97,0.2,122.2,102.47,0.57,12.57,30.03,0.15,120.7,14.79,17.49,5.61,2.98
20240414,GSW,L,116,123,31,50,-12,UTA,False,95.17,0.51,14.23,34.37,0.22,115.13,95.47,0.48,8.73,24.03,0.21,112.13,8.41,12.71,7.95,2.66
20240412,MIL,W,125,107,55,25,-1,OKC,False,103.9,0.57,12.67,18.07,0.2,115.7,97.33,0.55,8.9,25.3,0.17,120.97,14.29,12.21,5.18,1.62
20240412,MIN,L,106,109,36,44,2,ATL,False,97.13,0.52,14.13,23.5,0.17,108.27,,,,,,,12.03,15.41,3.49,4.3
20240412,GSW,W,114,109,48,32,2,NOP,False,96.97,0.58,11.17,21.63,0.23,122.87,95.47,0.48,8.73,24.03,0.21,112.13,16.34,14.23,2.69,3.48
20240412,MEM,W,123,120,45,35,5,LAL,False,102.5,0.55,13.23,20.4,0.32,116.5,96.13,0.54,11.97,20.77,0.16,111.27,17.53,11.28,3.51,6.11
20240412,MIA,L,103,125,25,55,1,TOR,False,102.23,0.52,10.8,26.83,0.21,115.47,98.33,0.56,12.77,20.63,0.2,115.33,17.58,13.46,5.07,3.59
20240412,SAC,W,108,107,47,33,1,PHO,False,99.8,0.48,11.83,16.63,0.24,104.33,93.8,0.45,12.87,19.17,0.18,97.43,14.11,13.23,2.39,2.66
20240412,DET,L,89,107,50,30,2,DAL,False,97.27,0.59,12.4,18.7,0.26,120.9,93.7,0.53,13.7,29.77,0.17,115.33,8.09,9.0,2.36,7.7
20240412,BRK,W,111,107,48,32,1,NYK,False,93.2,0.6,9.93,29.57,0.16,131.7,96.8,0.54,8.53,26.07,0.08,119.23,15.38,10.65,1.77,5.41
20240412,LAC,W,110,109,30,50,-11,UTA,False,94.5,0.53,12.67,26.87,0.2,115.97,95.07,0.58,9.4,25.47,0.22,124.6,9.35,12.83,6.56,6.69
20240412,CHO,W,131,98,62,18,2,BOS,False,90.67,0.57,11.03,26.9,0.11,122.23,95.33,0.63,11.7,27.57,0.21,131.17,7.25,11.01,3.55,3.51
20240412,HOU,L,107,116,21,59,-7,POR,False,95.4,0.45,11.47,35.67,0.15,107.13,94.93,0.6,11.53,21.03,0.25,124.43,10.81,10.69,5.25,3.39
20240412,CHI,L,127,129,15,65,3,WAS,False,103.63,0.58,12.5,14.03,0.14,115.23,95.53,0.53,14.7,19.87,0.19,106.43,11.64,5.81,9.35,8.08
20240412,DEN,W,121,120,20,60,-2,SAS,False,97.63,0.52,12.97,28.73,0.12,109.33,95.4,0.52,8.43,16.77,0.27,112.07,11.06,17.53,4.83,4.16
20240412,IND,W,129,120,47,33,1,CLE,False,97.5,0.53,13.63,22.13,0.2,111.2,94.97,0.51,10.3,22.8,0.24,112.9,14.74,12.26,2.46,5.55
20240412,PHI,L,113,125,46,34,-2,ORL,False,96.17,0.52,12.7,21.07,0.22,110.2,97.93,0.5,16.53,26.43,0.21,102.9,12.76,18.04,3.74,5.87
20240411,GSW,L,92,100,21,58,-2,POR,False,96.57,0.46,12.43,33.5,0.13,104.87,95.47,0.48,8.73,24.03,0.21,112.13,11.46,14.65,5.24,2.57
20240411,BOS,W,118,109,47,32,-1,NYK,False,94.07,0.57,11.07,22.77,0.21,124.43,91.0,0.6,10.77,17.97,0.08,117.6,16.34,14.83,1.92,6.8
20240411,HOU,W,124,121,29,50,-8,UTA,False,97.03,0.48,12.23,21.9,0.2,105.63,94.93,0.6,11.53,21.03,0.25,124.43,7.53,14.45,5.15,3.69
20240411,SAC,W,135,123,47,32,1,NOP,False,95.47,0.54,12.33,25.83,0.22,115.9,93.8,0.45,12.87,19.17,0.18,97.43,15.48,12.19,2.95,2.95
20240411,DET,W,127,105,37,42,-1,CHI,False,96.33,0.57,10.8,26.1,0.16,121.47,93.7,0.53,13.7,29.77,0.17,115.33,12.75,10.03,0.65,5.81
20240410,MIL,L,99,117,46,33,-4,ORL,False,96.33,0.51,10.47,27.3,0.23,115.6,97.33,0.55,8.9,25.3,0.17,120.97,12.05,12.39,2.93,1.86
20240410,LAC,W,124,108,46,33,-2,PHO,False,98.77,0.49,12.9,16.83,0.25,104.93,95.07,0.58,9.4,25.47,0.22,124.6,12.05,5.77,2.95,5.0
20240410,SAS,W,127,89,54,25,-1,OKC,False,99.3,0.57,13.87,20.9,0.22,115.83,97.63,0.48,9.33,26.2,0.11,107.07,14.3,11.16,4.9,4.5
20240410,CHO,L,114,115,36,43,1,ATL,False,99.33,0.47,14.6,23.77,0.18,99.63,95.33,0.63,11.7,27.57,0.21,131.17,8.15,13.99,4.44,4.36
20240410,MEM,W,110,98,46,33,4,CLE,False,98.27,0.52,13.53,17.77,0.19,107.17,96.13,0.54,11.97,20.77,0.16,111.27,13.72,9.96,2.67,5.84
20240410,BRK,L,102,106,25,54,-11,TOR,False,104.83,0.55,12.9,25.2,0.29,117.63,96.8,0.54,8.53,26.07,0.08,119.23,7.3,12.73,7.69,3.96
20240410,MIN,W,116,107,55,24,-2,DEN,False,96.9,0.52,12.83,26.87,0.21,112.2,,,,,,,16.79,12.65,4.15,4.11
20240410,MIA,W,111,92,49,30,1,DAL,False,100.53,0.57,14.67,17.8,0.25,113.0,98.33,0.56,12.77,20.63,0.2,115.33,17.61,14.96,3.53,3.85
20240409,LAL,W,134,120,43,35,1,GSW,False,95.7,0.62,14.17,25.77,0.19,124.1,102.67,0.54,11.7,25.4,0.12,114.73,12.61,13.57,5.73,5.01
20240409,DEN,L,95,111,29,49,-2,UTA,False,99.1,0.52,13.67,18.93,0.21,109.57,97.4,0.48,9.73,20.53,0.28,108.37,6.88,14.59,5.1,3.62
20240409,LAC,L,92,105,46,32,-2,PHO,False,96.17,0.56,15.87,22.23,0.2,112.03,95.07,0.58,9.4,25.47,0.22,124.6,14.17,13.21,2.62,2.52
20240409,MIL,L,91,104,62,16,7,BOS,False,93.5,0.61,9.4,25.4,0.18,132.27,97.33,0.55,8.9,25.3,0.17,120.97,12.55,15.41,6.06,3.72
20240409,MEM,W,102,87,19,59,-2,SAS,False,101.07,0.54,13.73,28.5,0.14,110.9,96.13,0.54,11.97,20.77,0.16,111.27,14.86,11.53,5.29,5.21
