,G,Date,Opponent,Resultado,Tm,Opp,W,L,Streak,Team,Year,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Starters_Team,Bench_Team,Starters_Opp,Bench_Opp
636,28,20231223,DAL,L,119,144,4,24,-4,SAS,2024,False,108.0,0.52,8.4,16.3,0.173,110.2,108.5,0.635,10.6,24.4,0.17,132.7,"['Devin Vassell', 'Jeremy Sochan', 'Zach Collins', 'Malaki Branham', 'Julian Champagnie']","['Keldon Johnson', 'Tre Jones', 'Sandro Mamukelashvili', 'Sidy Cissoko', 'Blake Wesley', 'Cedi Osman', ""Devonte' Graham"", 'Doug McDermott', 'Victor Wembanyama']","['Dante Exum', 'Luka Dončić', 'Tim Hardaway Jr.', 'Grant Williams', 'Derrick Jones Jr.']","['A.J. Lawson', 'Dwight Powell', 'Jaden Hardy', 'Olivier-Maxence Prosper', 'Dexter Dennis', 'Greg Brown III', 'Seth Curry', 'Richaun Holmes', 'Markieff Morris']"
637,29,20231226,UTA,L,118,130,4,25,-5,SAS,2024,False,101.8,0.531,7.7,24.5,0.143,116.0,101.8,0.579,11.8,30.2,0.211,127.8,"['Devin Vassell', 'Jeremy Sochan', 'Julian Champagnie', 'Victor Wembanyama', 'Malaki Branham']","['Keldon Johnson', 'Tre Jones', 'Zach Collins', 'Cedi Osman', 'Doug McDermott', 'Blake Wesley', 'Sidy Cissoko', 'Sandro Mamukelashvili', ""Devonte' Graham""]","['Lauri Markkanen', 'Collin Sexton', 'Kelly Olynyk', 'Kris Dunn', 'John Collins']","['Jordan Clarkson', 'Keyonte George', 'Simone Fontecchio', 'Ochai Agbaji', 'Walker Kessler', 'Taylor Hendricks', 'Luka Šamanić', 'Brice Sensabaugh', 'Omer Yurtseven', 'Talen Horton-Tucker']"
638,32,20231231,BOS,L,101,134,5,27,-2,SAS,2024,False,102.3,0.489,13.9,17.0,0.096,98.8,100.8,0.616,9.5,30.2,0.179,133.0,"['Devin Vassell', 'Jeremy Sochan', 'Victor Wembanyama', 'Malaki Branham', 'Julian Champagnie']","['Tre Jones', 'Sandro Mamukelashvili', 'Blake Wesley', 'Cedi Osman', 'Doug McDermott', 'Dominick Barlow', ""Devonte' Graham"", 'Sidy Cissoko']","['Jayson Tatum', 'Kristaps Porziņģis', 'Jaylen Brown', 'Derrick White', 'Al Horford']","['Oshae Brissett', 'Sam Hauser', 'Payton Pritchard', 'Luke Kornet', 'Dalano Banton', 'Svi Mykhailiuk', 'Lamar Stevens', 'Neemias Queta']"
639,33,20240102,MEM,L,98,106,5,28,-3,SAS,2024,False,99.6,0.482,14.4,13.6,0.188,98.4,98.6,0.538,14.2,19.0,0.25,107.5,"['Devin Vassell', 'Jeremy Sochan', 'Victor Wembanyama', 'Julian Champagnie', 'Malaki Branham']","['Keldon Johnson', 'Tre Jones', 'Blake Wesley', 'Doug McDermott', 'Dominick Barlow', 'Cedi Osman', 'Sandro Mamukelashvili', 'Mamadi Diakite', ""Devonte' Graham""]","['Ja Morant', 'Desmond Bane', 'Jaren Jackson Jr.', 'Marcus Smart', 'Bismack Biyombo']","['Santi Aldama', 'Vince Williams Jr.', 'Luke Kennard', 'Derrick Rose', 'John Konchar', 'David Roddy', 'Xavier Tillman Sr.', 'Ziaire Williams']"
640,34,20240104,MIL,L,121,125,5,29,-4,SAS,2024,False,103.1,0.558,10.5,22.7,0.158,117.3,102.6,0.598,12.2,20.0,0.163,121.8,"['Tre Jones', 'Devin Vassell', 'Jeremy Sochan', 'Victor Wembanyama', 'Julian Champagnie']","['Keldon Johnson', 'Cedi Osman', 'Blake Wesley', 'Dominick Barlow', 'Sandro Mamukelashvili', 'Malaki Branham', 'Mamadi Diakite', ""Devonte' Graham""]","['Giannis Antetokounmpo', 'Damian Lillard', 'Brook Lopez', 'Malik Beasley', 'Khris Middleton']","['Pat Connaughton', 'Bobby Portis', 'MarJon Beauchamp', 'Cameron Payne', 'Andre Jackson Jr.', 'Thanasis Antetokounmpo', 'A.J. Green', 'Chris Livingston', 'Robin Lopez', 'Lindell Wigginton']"
641,35,20240107,CLE,L,115,117,5,30,-5,SAS,2024,False,97.7,0.558,10.3,20.0,0.221,117.7,97.7,0.58,14.1,27.3,0.17,119.7,"['Devin Vassell', 'Tre Jones', 'Jeremy Sochan', 'Victor Wembanyama', 'Julian Champagnie']","['Keldon Johnson', 'Dominick Barlow', 'Cedi Osman', 'Malaki Branham', 'Blake Wesley', 'Mamadi Diakite', ""Devonte' Graham"", 'Sandro Mamukelashvili', 'Doug McDermott']","['Max Strus', 'Donovan Mitchell', 'Jarrett Allen', 'Isaac Okoro', 'Dean Wade']","['Georges Niang', 'Caris LeVert', 'Sam Merrill', 'Tristan Thompson', 'Craig Porter Jr.', 'Emoni Bates', 'Damian Jones']"
642,36,20240110,DET,W,130,108,6,30,1,SAS,2024,False,99.5,0.569,4.5,22.7,0.245,130.7,99.5,0.51,9.0,20.0,0.104,108.6,"['Jeremy Sochan', 'Devin Vassell', 'Tre Jones', 'Victor Wembanyama', 'Julian Champagnie']","['Keldon Johnson', 'Dominick Barlow', 'Malaki Branham', 'Cedi Osman', 'Doug McDermott', 'Blake Wesley', 'Mamadi Diakite', 'Sandro Mamukelashvili', ""Devonte' Graham""]","['Bojan Bogdanović', 'Killian Hayes', 'Jaden Ivey', 'Jalen Duren', 'Isaiah Livers']","['Kevin Knox', 'Alec Burks', 'James Wiseman', 'Marcus Sasser', 'Ausar Thompson', 'Joe Harris', 'Marvin Bagley III', 'Isaiah Stewart']"
643,37,20240112,CHO,W,135,99,7,30,2,SAS,2024,False,103.9,0.621,12.8,20.0,0.31,130.0,103.9,0.416,16.5,29.6,0.281,95.3,"['Devin Vassell', 'Jeremy Sochan', 'Tre Jones', 'Julian Champagnie', 'Victor Wembanyama']","['Malaki Branham', 'Keldon Johnson', 'Dominick Barlow', 'Blake Wesley', 'Cedi Osman', 'Doug McDermott', 'Mamadi Diakite', ""Devonte' Graham"", 'Sandro Mamukelashvili']","['Miles Bridges', 'Terry Rozier', 'LaMelo Ball', 'Nick Richards', 'Brandon Miller']","['Nick Smith Jr.', 'Bryce McGowens', 'Ish Smith', 'JT Thor', 'Nathan Mensah', 'Leaky Black', 'James Bouknight', 'Cody Martin']"
644,38,20240113,CHI,L,116,122,7,31,-1,SAS,2024,False,99.3,0.505,7.9,23.1,0.211,116.9,98.8,0.594,8.3,16.7,0.167,123.5,"['Devin Vassell', 'Tre Jones', 'Jeremy Sochan', 'Dominick Barlow', 'Julian Champagnie']","['Keldon Johnson', 'Cedi Osman', 'Malaki Branham', 'Sandro Mamukelashvili', 'Blake Wesley', 'Mamadi Diakite', ""Devonte' Graham""]","['Zach LaVine', 'DeMar DeRozan', 'Alex Caruso', 'Coby White', 'Nikola Vučević']","['Ayo Dosunmu', 'Jevon Carter', 'Andre Drummond', 'Dalen Terry', 'Torrey Craig', 'Terry Taylor', 'Patrick Williams']"
645,39,20240115,ATL,L,99,109,7,32,-2,SAS,2024,False,105.7,0.458,14.9,17.0,0.126,93.6,107.2,0.5,16.4,27.1,0.172,101.6,"['Jeremy Sochan', 'Devin Vassell', 'Tre Jones', 'Victor Wembanyama', 'Julian Champagnie']","['Keldon Johnson', 'Dominick Barlow', 'Doug McDermott', 'Blake Wesley', 'Cedi Osman', 'Malaki Branham', 'Sandro Mamukelashvili', 'Mamadi Diakite', ""Devonte' Graham""]","['Trae Young', 'Jalen Johnson', 'Dejounte Murray', 'Saddiq Bey', 'Clint Capela']","['Bogdan Bogdanović', 'Onyeka Okongwu', 'Garrison Mathews', 'Trent Forrest', 'Bruno Fernando', 'AJ Griffin', 'Seth Lundy', 'Patty Mills']"
646,40,20240117,BOS,L,98,117,7,33,-3,SAS,2024,False,96.2,0.457,9.1,20.8,0.14,101.9,97.2,0.567,12.5,28.6,0.167,120.4,"['Devin Vassell', 'Jeremy Sochan', 'Tre Jones', 'Victor Wembanyama', 'Julian Champagnie']","['Keldon Johnson', 'Dominick Barlow', 'Malaki Branham', 'Cedi Osman', 'Doug McDermott', 'Blake Wesley', 'Mamadi Diakite', 'Sandro Mamukelashvili', ""Devonte' Graham""]","['Jayson Tatum', 'Jrue Holiday', 'Jaylen Brown', 'Luke Kornet', 'Al Horford']","['Payton Pritchard', 'Sam Hauser', 'Oshae Brissett', 'Neemias Queta', 'Lamar Stevens', 'Dalano Banton', 'Svi Mykhailiuk', 'JD Davison', 'Jordan Walsh']"
647,41,20240119,CHO,L,120,124,7,34,-4,SAS,2024,False,96.5,0.649,12.4,18.9,0.131,124.3,97.0,0.655,16.5,27.0,0.167,127.8,"['Devin Vassell', 'Jeremy Sochan', 'Tre Jones', 'Zach Collins', 'Julian Champagnie']","['Keldon Johnson', 'Dominick Barlow', 'Blake Wesley', 'Cedi Osman', 'Doug McDermott', 'Malaki Branham', 'Mamadi Diakite', ""Devonte' Graham"", 'Sandro Mamukelashvili']","['Miles Bridges', 'Brandon Miller', 'Terry Rozier', 'LaMelo Ball', 'P.J. Washington']","['Cody Martin', 'Nathan Mensah', 'Nick Smith Jr.', 'JT Thor', 'Leaky Black', 'James Bouknight', 'Frank Ntilikina', 'Ish Smith']"
648,42,20240120,WAS,W,131,127,8,34,1,SAS,2024,False,107.1,0.594,13.8,30.4,0.177,122.3,107.6,0.519,9.6,28.6,0.194,118.0,"['Devin Vassell', 'Tre Jones', 'Jeremy Sochan', 'Victor Wembanyama', 'Julian Champagnie']","['Keldon Johnson', 'Zach Collins', 'Cedi Osman', 'Blake Wesley', 'Doug McDermott', 'Malaki Branham', 'Dominick Barlow', 'Mamadi Diakite', ""Devonte' Graham"", 'Sandro Mamukelashvili']","['Marvin Bagley III', 'Deni Avdija', 'Kyle Kuzma', 'Jordan Poole', 'Tyus Jones']","['Corey Kispert', 'Bilal Coulibaly', 'Delon Wright', 'Patrick Baldwin Jr.', 'Landry Shamet', 'Jules Bernard', 'Jared Butler', 'Anthony Gill', 'Trey Jemison', 'Isaiah Livers']"
649,46,20240127,MIN,W,113,112,10,36,2,SAS,2024,False,90.2,0.625,14.2,35.9,0.095,125.2,90.2,0.658,13.2,21.9,0.101,124.1,"['Devin Vassell', 'Jeremy Sochan', 'Victor Wembanyama', 'Tre Jones', 'Julian Champagnie']","['Keldon Johnson', 'Blake Wesley', 'Dominick Barlow', 'Doug McDermott', 'Cedi Osman', 'Malaki Branham', ""Devonte' Graham"", 'Sandro Mamukelashvili']","['Anthony Edwards', 'Rudy Gobert', 'Jaden McDaniels', 'Nickeil Alexander-Walker', 'Karl-Anthony Towns']","['Naz Reid', 'Kyle Anderson', 'Shake Milton', 'Jordan McLaughlin', 'Troy Brown Jr.', 'Luka Garza', 'Daishen Nix']"
650,47,20240129,WAS,L,113,118,10,37,-1,SAS,2024,False,99.8,0.533,13.1,24.4,0.163,113.2,99.8,0.587,16.4,35.0,0.198,118.2,"['Devin Vassell', 'Tre Jones', 'Victor Wembanyama', 'Jeremy Sochan', 'Julian Champagnie']","['Keldon Johnson', 'Cedi Osman', 'Dominick Barlow', 'Blake Wesley', 'Doug McDermott']","['Jordan Poole', 'Tyus Jones', 'Kyle Kuzma', 'Daniel Gafford', 'Deni Avdija']","['Bilal Coulibaly', 'Corey Kispert', 'Marvin Bagley III', 'Landry Shamet', 'Delon Wright']"
651,50,20240203,CLE,L,101,117,10,40,-4,SAS,2024,False,100.9,0.429,10.1,25.5,0.173,100.1,100.9,0.541,8.9,20.0,0.124,116.0,"['Devin Vassell', 'Jeremy Sochan', 'Tre Jones', 'Victor Wembanyama', 'Julian Champagnie']","['Keldon Johnson', 'Zach Collins', 'Doug McDermott', 'Cedi Osman', 'Blake Wesley', 'Malaki Branham', ""Devonte' Graham"", 'Sandro Mamukelashvili']","['Donovan Mitchell', 'Jarrett Allen', 'Max Strus', 'Evan Mobley', 'Darius Garland']","['Caris LeVert', 'Isaac Okoro', 'Georges Niang', 'Sam Merrill', 'Dean Wade', 'Damian Jones', 'Craig Porter Jr.']"
652,51,20240207,MIA,L,104,116,10,41,-5,SAS,2024,False,103.0,0.522,13.3,13.0,0.111,101.0,103.0,0.563,10.2,11.1,0.207,112.7,"['Devin Vassell', 'Tre Jones', 'Jeremy Sochan', 'Victor Wembanyama', 'Julian Champagnie']","['Keldon Johnson', 'Cedi Osman', 'Zach Collins', 'Blake Wesley', 'Doug McDermott', 'Malaki Branham', 'Sandro Mamukelashvili', ""Devonte' Graham""]","['Jimmy Butler', 'Tyler Herro', 'Bam Adebayo', 'Terry Rozier', 'Caleb Martin']","['Jaime Jaquez Jr.', 'Josh Richardson', 'Duncan Robinson', 'Kevin Love', 'Orlando Robinson', 'Nikola Jović', 'Thomas Bryant']"
653,53,20240210,BRK,L,103,123,10,43,-7,SAS,2024,False,93.3,0.456,12.3,31.9,0.22,110.4,93.8,0.661,11.6,25.7,0.092,131.2,"['Devin Vassell', 'Jeremy Sochan', 'Victor Wembanyama', 'Tre Jones', 'Julian Champagnie']","['Keldon Johnson', 'Malaki Branham', 'Blake Wesley', 'Cedi Osman', 'Dominick Barlow', 'Zach Collins', 'Sandro Mamukelashvili', ""Devonte' Graham""]","['Cam Thomas', 'Mikal Bridges', 'Nic Claxton', 'Ben Simmons', 'Dorian Finney-Smith']","['Jalen Wilson', 'Dennis Schröder', 'Dennis Smith Jr.', 'Trendon Watford', 'Lonnie Walker IV', 'Noah Clowney', 'Keita Bates-Diop']"
654,54,20240212,TOR,W,122,99,11,43,1,SAS,2024,False,107.4,0.592,16.4,13.9,0.218,113.6,106.4,0.439,15.3,28.1,0.133,93.1,"['Jeremy Sochan', 'Victor Wembanyama', 'Tre Jones', 'Devin Vassell', 'Julian Champagnie']","['Keldon Johnson', 'Malaki Branham', 'Blake Wesley', 'Zach Collins', 'Cedi Osman', 'Sandro Mamukelashvili', ""Devonte' Graham""]","['Scottie Barnes', 'Immanuel Quickley', 'RJ Barrett', 'Gary Trent Jr.', 'Jakob Poeltl']","['Bruce Brown', 'Gradey Dick', 'Kelly Olynyk', 'Ochai Agbaji', 'Jordan Nwora', 'Jontay Porter', 'Mouhamadou Gueye', 'Jalen McDaniels', 'Chris Boucher', 'Garrett Temple']"
655,55,20240214,DAL,L,93,116,11,44,-1,SAS,2024,False,102.4,0.41,10.1,21.7,0.11,90.9,102.4,0.592,14.2,20.5,0.076,113.3,"['Devin Vassell', 'Victor Wembanyama', 'Jeremy Sochan', 'Tre Jones', 'Julian Champagnie']","['Blake Wesley', 'Zach Collins', 'Malaki Branham', 'Keldon Johnson', 'Cedi Osman', ""Devonte' Graham"", 'Sandro Mamukelashvili']","['Kyrie Irving', 'Luka Dončić', 'P.J. Washington', 'Daniel Gafford', 'Josh Green']","['Tim Hardaway Jr.', 'Jaden Hardy', 'Derrick Jones Jr.', 'Dereck Lively II', 'Dwight Powell', 'Olivier-Maxence Prosper', 'A.J. Lawson', 'Brandon Williams', 'Markieff Morris']"
656,57,20240223,LAL,L,118,123,11,46,-3,SAS,2024,False,101.8,0.516,11.7,30.8,0.198,115.9,102.3,0.574,11.2,24.4,0.147,120.2,"['Jeremy Sochan', 'Victor Wembanyama', 'Devin Vassell', 'Tre Jones', 'Julian Champagnie']","['Keldon Johnson', 'Malaki Branham', 'Zach Collins', 'Cedi Osman', 'Blake Wesley', 'Sandro Mamukelashvili', ""Devonte' Graham""]","[""D'Angelo Russell"", 'LeBron James', 'Austin Reaves', 'Rui Hachimura', 'Anthony Davis']","['Spencer Dinwiddie', 'Jaxson Hayes', 'Taurean Prince', 'Max Christie', 'Jalen Hood-Schifino', 'Maxwell Lewis', 'Dylan Windler']"
657,58,20240225,UTA,L,109,128,11,47,-4,SAS,2024,False,108.2,0.533,16.8,23.3,0.132,100.7,108.2,0.606,14.6,12.2,0.211,118.3,"['Devin Vassell', 'Tre Jones', 'Jeremy Sochan', 'Victor Wembanyama', 'Julian Champagnie']","['Malaki Branham', 'Zach Collins', 'Blake Wesley', 'Cedi Osman', 'Sandro Mamukelashvili', 'Keldon Johnson', ""Devonte' Graham""]","['Lauri Markkanen', 'Keyonte George', 'Collin Sexton', 'John Collins', 'Taylor Hendricks']","['Jordan Clarkson', 'Kris Dunn', 'Walker Kessler', 'Brice Sensabaugh', 'Omer Yurtseven', 'Kira Lewis Jr.', 'Johnny Juzang', 'Luka Šamanić', 'Talen Horton-Tucker']"
658,59,20240227,MIN,L,105,114,11,48,-5,SAS,2024,False,102.0,0.573,20.6,16.7,0.134,102.9,101.5,0.532,12.2,24.4,0.161,112.3,"['Devin Vassell', 'Victor Wembanyama', 'Tre Jones', 'Julian Champagnie', 'Jeremy Sochan']","['Keldon Johnson', 'Cedi Osman', 'Malaki Branham', 'Zach Collins', 'Blake Wesley', ""Devonte' Graham"", 'Sandro Mamukelashvili']","['Rudy Gobert', 'Anthony Edwards', 'Jaden McDaniels', 'Mike Conley', 'Kyle Anderson']","['Naz Reid', 'Nickeil Alexander-Walker', 'Monte Morris', 'Jordan McLaughlin', 'Justin Jackson', 'Josh Minott', 'Luka Garza', 'Wendell Moore Jr.']"
659,61,20240303,IND,W,117,105,13,48,2,SAS,2024,False,96.6,0.6,14.6,26.3,0.176,121.2,96.6,0.473,10.5,28.6,0.183,108.7,"['Devin Vassell', 'Jeremy Sochan', 'Victor Wembanyama', 'Malaki Branham', 'Tre Jones']","['Keldon Johnson', 'Blake Wesley', 'Zach Collins', 'Cedi Osman', 'Dominick Barlow', 'Sidy Cissoko', 'Sandro Mamukelashvili', ""Devonte' Graham""]","['Pascal Siakam', 'Tyrese Haliburton', 'Myles Turner', 'Aaron Nesmith', 'Andrew Nembhard']","['Bennedict Mathurin', 'T.J. McConnell', 'Obi Toppin', 'Jalen Smith', 'Kendall Brown', 'Isaiah Jackson', 'James Johnson', 'Oscar Tshiebwe', 'Jarace Walker']"
660,62,20240305,HOU,L,101,114,13,49,-1,SAS,2024,False,97.8,0.506,16.8,25.5,0.149,103.2,98.3,0.51,6.0,29.6,0.067,115.9,"['Devin Vassell', 'Jeremy Sochan', 'Victor Wembanyama', 'Tre Jones', 'Julian Champagnie']","['Keldon Johnson', 'Malaki Branham', 'Zach Collins', 'Cedi Osman', 'Blake Wesley', 'Dominick Barlow', ""Devonte' Graham"", 'Sandro Mamukelashvili']","['Jalen Green', 'Fred VanVleet', 'Alperen Sengun', 'Dillon Brooks', 'Jabari Smith Jr.']","['Cam Whitmore', 'Amen Thompson', 'Jock Landale', 'Jeff Green', 'Aaron Holiday', 'Reggie Bullock', 'Boban Marjanović', ""Jae'Sean Tate"", 'Jeenathan Williams']"
661,64,20240309,GSW,W,126,113,14,50,1,SAS,2024,False,100.1,0.61,12.5,28.6,0.244,125.9,99.1,0.523,10.6,19.6,0.239,114.1,"['Julian Champagnie', 'Tre Jones', 'Malaki Branham', 'Jeremy Sochan', 'Zach Collins']","['Keldon Johnson', 'Dominick Barlow', 'Blake Wesley', ""Devonte' Graham"", 'Sandro Mamukelashvili', 'Devin Vassell']","['Brandin Podziemski', 'Jonathan Kuminga', 'Chris Paul', 'Draymond Green', 'Trayce Jackson-Davis']","['Moses Moody', 'Andrew Wiggins', 'Klay Thompson', 'Lester Quinones', 'Gui Santos', 'Dario Šarić', 'Jerome Robinson', 'Pat Spencer', 'Kevon Looney']"
662,65,20240311,GSW,L,102,112,14,51,-1,SAS,2024,False,99.2,0.495,13.1,27.1,0.108,102.8,99.7,0.559,12.5,21.3,0.086,112.3,"['Devin Vassell', 'Tre Jones', 'Victor Wembanyama', 'Jeremy Sochan', 'Julian Champagnie']","['Keldon Johnson', 'Malaki Branham', 'Zach Collins', 'Blake Wesley', 'Dominick Barlow', 'Sandro Mamukelashvili', ""Devonte' Graham""]","['Chris Paul', 'Jonathan Kuminga', 'Klay Thompson', 'Andrew Wiggins', 'Draymond Green']","['Brandin Podziemski', 'Trayce Jackson-Davis', 'Gary Payton II', 'Moses Moody', 'Kevon Looney', 'Lester Quinones', 'Jerome Robinson', 'Dario Šarić']"
663,66,20240312,HOU,L,101,103,14,52,-2,SAS,2024,False,90.8,0.543,14.5,26.3,0.146,111.2,90.3,0.525,12.7,20.0,0.238,114.0,"['Devin Vassell', 'Julian Champagnie', 'Jeremy Sochan', 'Tre Jones', 'Victor Wembanyama']","['Malaki Branham', 'Zach Collins', 'Blake Wesley', 'Sandro Mamukelashvili', 'Dominick Barlow', ""Devonte' Graham""]","['Fred VanVleet', 'Jalen Green', 'Jabari Smith Jr.', 'Dillon Brooks', 'Amen Thompson']","['Jock Landale', 'Jeff Green', 'Reggie Bullock', ""Jae'Sean Tate"", 'Aaron Holiday', 'Boban Marjanović', 'Jeenathan Williams']"
664,67,20240315,DEN,L,106,117,14,53,-3,SAS,2024,False,97.2,0.525,15.5,26.7,0.259,109.1,97.2,0.607,12.1,17.9,0.101,120.4,"['Devin Vassell', 'Victor Wembanyama', 'Tre Jones', 'Jeremy Sochan', 'Julian Champagnie']","['Keldon Johnson', 'Blake Wesley', 'Zach Collins', 'Dominick Barlow', 'Malaki Branham', 'Sidy Cissoko', 'David Duke Jr.', ""Devonte' Graham"", 'RaiQuan Gray', 'Sandro Mamukelashvili']","['Jamal Murray', 'Nikola Jokić', 'Kentavious Caldwell-Pope', 'Aaron Gordon', 'Michael Porter Jr.']","['Christian Braun', 'Peyton Watson', 'Justin Holiday', 'Zeke Nnaji', 'Reggie Jackson', 'Jay Huff', 'Julian Strawther', 'DeAndre Jordan']"
665,68,20240317,BRK,W,122,115,15,53,1,SAS,2024,False,99.4,0.51,14.2,26.0,0.212,111.1,99.0,0.5,9.8,22.9,0.127,105.2,"['Devin Vassell', 'Jeremy Sochan', 'Victor Wembanyama', 'Tre Jones', 'Julian Champagnie']","['Keldon Johnson', 'Zach Collins', 'Malaki Branham', 'Cedi Osman', 'Blake Wesley', 'Dominick Barlow', 'Sidy Cissoko', ""Devonte' Graham"", 'Sandro Mamukelashvili']","['Dennis Schröder', 'Mikal Bridges', 'Cam Thomas', 'Dorian Finney-Smith', 'Nic Claxton']","['Cameron Johnson', ""Day'Ron Sharpe"", 'Dennis Smith Jr.', 'Lonnie Walker IV', 'Keita Bates-Diop', 'Noah Clowney', 'Trendon Watford', 'Jalen Wilson']"
666,69,20240319,DAL,L,107,113,15,54,-1,SAS,2024,False,103.1,0.517,14.0,19.6,0.169,103.8,102.6,0.538,8.4,7.1,0.165,110.2,"['Devin Vassell', 'Tre Jones', 'Victor Wembanyama', 'Jeremy Sochan', 'Julian Champagnie']","['Keldon Johnson', 'Malaki Branham', 'Dominick Barlow', 'Blake Wesley', 'Cedi Osman', ""Devonte' Graham"", 'Sandro Mamukelashvili']","['Luka Dončić', 'Kyrie Irving', 'P.J. Washington', 'Daniel Gafford', 'Derrick Jones Jr.']","['Dante Exum', 'Maxi Kleber', 'Tim Hardaway Jr.', 'Dereck Lively II', 'Jaden Hardy', 'A.J. Lawson', 'Markieff Morris', 'Dwight Powell']"
667,70,20240322,MEM,L,97,99,15,55,-2,SAS,2024,False,102.9,0.426,13.2,26.3,0.168,94.3,103.4,0.476,15.8,18.0,0.256,95.7,"['Devin Vassell', 'Victor Wembanyama', 'Tre Jones', 'Jeremy Sochan', 'Julian Champagnie']","['Keldon Johnson', 'Malaki Branham', 'Cedi Osman', 'Zach Collins', 'Blake Wesley', 'Dominick Barlow', ""Devonte' Graham"", 'Sandro Mamukelashvili']","['GG Jackson II', 'Jaren Jackson Jr.', 'Santi Aldama', 'John Konchar', 'Jordan Goodwin']","['Jake LaRavia', 'Scotty Pippen Jr.', 'Mãozinha Pereira', 'DeJon Jarreau', 'Lamar Stevens', 'Vince Williams Jr.', 'Ziaire Williams']"
668,73,20240327,UTA,W,118,111,17,56,2,SAS,2024,False,105.2,0.605,18.1,23.1,0.163,112.2,105.7,0.548,19.2,15.8,0.241,105.0,"['Devin Vassell', 'Jeremy Sochan', 'Tre Jones', 'Julian Champagnie', 'Victor Wembanyama']","['Malaki Branham', 'Cedi Osman', 'Blake Wesley', 'Zach Collins', 'Dominick Barlow', 'Sidy Cissoko', ""Devonte' Graham"", 'Sandro Mamukelashvili']","['Lauri Markkanen', 'Keyonte George', 'Collin Sexton', 'Taylor Hendricks', 'John Collins']","['Walker Kessler', 'Brice Sensabaugh', 'Luka Šamanić', 'Kira Lewis Jr.', 'Micah Potter', 'Talen Horton-Tucker', 'Omer Yurtseven', 'Kris Dunn', 'Jason Preston']"
669,75,20240331,GSW,L,113,117,18,57,-1,SAS,2024,False,97.0,0.545,16.4,35.6,0.18,116.5,97.5,0.576,14.1,29.3,0.12,120.0,"['Julian Champagnie', 'Cedi Osman', 'Tre Jones', 'Victor Wembanyama', 'Malaki Branham']","['Sandro Mamukelashvili', ""Devonte' Graham"", 'Zach Collins', 'Blake Wesley', 'Jamaree Bouyea', 'Sidy Cissoko', 'David Duke Jr.', 'RaiQuan Gray']","['Stephen Curry', 'Draymond Green', 'Klay Thompson', 'Trayce Jackson-Davis', 'Andrew Wiggins']","['Brandin Podziemski', 'Chris Paul', 'Moses Moody', 'Gary Payton II', 'Kevon Looney', 'Lester Quinones', 'Jerome Robinson']"
670,76,20240402,DEN,L,105,110,18,58,-2,SAS,2024,False,101.0,0.462,6.7,26.8,0.076,104.0,100.5,0.495,7.1,20.0,0.133,109.5,"['Julian Champagnie', 'Malaki Branham', 'Victor Wembanyama', 'Tre Jones', 'Cedi Osman']","['Sandro Mamukelashvili', ""Devonte' Graham"", 'Zach Collins', 'Blake Wesley', 'Sidy Cissoko', 'Jamaree Bouyea', 'David Duke Jr.', 'RaiQuan Gray']","['Nikola Jokić', 'Michael Porter Jr.', 'Aaron Gordon', 'Kentavious Caldwell-Pope', 'Reggie Jackson']","['Christian Braun', 'Justin Holiday', 'Peyton Watson', 'DeAndre Jordan', 'Collin Gillespie', 'Jay Huff', 'Jalen Pickett', 'Julian Strawther', 'Hunter Tyson']"
671,79,20240409,MEM,W,102,87,20,59,1,SAS,2024,False,94.9,0.54,15.8,23.8,0.092,107.5,94.9,0.375,6.8,29.3,0.087,91.7,"['Tre Jones', 'Victor Wembanyama', 'Julian Champagnie', 'Malaki Branham', 'Sandro Mamukelashvili']","['Blake Wesley', 'Sidy Cissoko', ""Devonte' Graham"", 'Zach Collins', 'RaiQuan Gray', 'Jamaree Bouyea', 'David Duke Jr.']","['Jordan Goodwin', 'Scotty Pippen Jr.', 'Trey Jemison', 'GG Jackson II', 'Brandon Clarke']","['Timmy Allen', 'Zavier Simpson', 'Jack White', 'Santi Aldama', 'Luke Kennard', 'Lamar Stevens', 'Ziaire Williams']"
672,81,20240412,DEN,W,121,120,21,60,1,SAS,2024,False,100.4,0.618,15.9,28.9,0.188,120.5,101.4,0.572,8.2,13.6,0.093,118.3,"['Tre Jones', 'Julian Champagnie', 'Victor Wembanyama', 'Sandro Mamukelashvili', 'Blake Wesley']","[""Devonte' Graham"", 'Zach Collins', 'Sidy Cissoko', 'David Duke Jr.', 'Jamaree Bouyea', 'RaiQuan Gray']","['Nikola Jokić', 'Michael Porter Jr.', 'Jamal Murray', 'Aaron Gordon', 'Kentavious Caldwell-Pope']","['Christian Braun', 'Peyton Watson', 'Reggie Jackson', 'Justin Holiday', 'Zeke Nnaji', 'Collin Gillespie', 'DeAndre Jordan', 'Braxton Key', 'Julian Strawther', 'Hunter Tyson']"
